Index,Date,Day,Week,Course,Credits,Rec,Hr,Met_rec,Sick,Notes,Hex_Code
228,22-Feb-24,Thursday,07,CSE 111,2,6,01.50,0,0,,
229,22-Feb-24,Thursday,07,MKT 275,3,9,#N/A,0,0,,
230,22-Feb-24,Thursday,07,MATH 221,3,9,#N/A,0,0,,
231,23-Feb-24,Friday,07,ACCTG 201,3,9,#N/A,0,0,,
232,23-Feb-24,Friday,07,MATH 101,4,12,11.75,1,0,,
233,23-Feb-24,Friday,07,CSE 111,2,6,#N/A,0,0,,
234,23-Feb-24,Friday,07,MKT 275,3,9,#N/A,0,0,,
235,23-Feb-24,Friday,07,MATH 221,3,9,01.25,0,0,,
236,24-Feb-24,Saturday,07,ACCTG 201,3,9,02.75,0,0,,
237,24-Feb-24,Saturday,07,MATH 101,4,12,01.25,1,0,,
238,24-Feb-24,Saturday,07,CSE 111,2,6,#N/A,0,0,,
239,24-Feb-24,Saturday,07,MKT 275,3,9,#N/A,0,0,,
240,24-Feb-24,Saturday,07,MATH 221,3,9,#N/A,0,0,,
241,25-Feb-24,Sunday,07,ACCTG 201,3,9,#N/A,0,0,,
242,25-Feb-24,Sunday,07,MATH 101,4,12,#N/A,1,0,,
243,25-Feb-24,Sunday,07,CSE 111,2,6,#N/A,0,0,,
244,25-Feb-24,Sunday,07,MKT 275,3,9,03.00,0,0,,
245,25-Feb-24,Sunday,07,MATH 221,3,9,#N/A,0,0,,
246,26-Feb-24,Monday,08,ACCTG 201,3,9,01.50,0,0,,
247,26-Feb-24,Monday,08,MATH 101,4,12,#N/A,0,0,,
248,26-Feb-24,Monday,08,CSE 111,2,6,#N/A,0,0,,
249,26-Feb-24,Monday,08,MKT 275,3,9,01.00,1,0,,
250,26-Feb-24,Monday,08,MATH 221,3,9,#N/A,0,0,,
251,27-Feb-24,Tuesday,08,ACCTG 201,3,9,#N/A,0,0,,
252,27-Feb-24,Tuesday,08,MATH 101,4,12,03.25,0,0,,
253,27-Feb-24,Tuesday,08,CSE 111,2,6,#N/A,0,0,,
254,27-Feb-24,Tuesday,08,MKT 275,3,9,04.75,1,0,,
255,27-Feb-24,Tuesday,08,MATH 221,3,9,#N/A,0,0,,
256,28-Feb-24,Wednesday,08,ACCTG 201,3,9,#N/A,0,0,,
257,28-Feb-24,Wednesday,08,MATH 101,4,12,01.25,0,0,,
258,28-Feb-24,Wednesday,08,CSE 111,2,6,#N/A,0,0,,
259,28-Feb-24,Wednesday,08,MKT 275,3,9,05.50,1,0,,
260,28-Feb-24,Wednesday,08,MATH 221,3,9,04.75,0,0,,
261,29-Feb-24,Thursday,08,ACCTG 201,3,9,#N/A,0,0,,
262,29-Feb-24,Thursday,08,MATH 101,4,12,02.25,0,0,,
263,29-Feb-24,Thursday,08,CSE 111,2,6,#N/A,0,0,,
264,29-Feb-24,Thursday,08,MKT 275,3,9,01.75,1,0,,
265,29-Feb-24,Thursday,08,MATH 221,3,9,03.25,0,0,,
266,1-Mar-24,Friday,08,ACCTG 201,3,9,#N/A,0,0,,
267,1-Mar-24,Friday,08,MATH 101,4,12,00.75,0,0,,
268,1-Mar-24,Friday,08,CSE 111,2,6,#N/A,0,0,,
269,1-Mar-24,Friday,08,MKT 275,3,9,02.75,1,0,,
270,1-Mar-24,Friday,08,MATH 221,3,9,#N/A,0,0,,
271,2-Mar-24,Saturday,08,ACCTG 201,3,9,#N/A,0,0,,
272,2-Mar-24,Saturday,08,MATH 101,4,12,#N/A,0,0,,
273,2-Mar-24,Saturday,08,CSE 111,2,6,#N/A,0,0,,
274,2-Mar-24,Saturday,08,MKT 275,3,9,#N/A,1,0,,
275,2-Mar-24,Saturday,08,MATH 221,3,9,#N/A,0,0,,
276,3-Mar-24,Sunday,08,ACCTG 201,3,9,#N/A,0,0,,
277,3-Mar-24,Sunday,08,MATH 101,4,12,#N/A,0,0,,
278,3-Mar-24,Sunday,08,CSE 111,2,6,#N/A,0,0,,
279,3-Mar-24,Sunday,08,MKT 275,3,9,01.50,1,0,,
280,3-Mar-24,Sunday,08,MATH 221,3,9,#N/A,0,0,,
281,4-Mar-24,Monday,09,ACCTG 201,3,9,07.75,1,0,,
282,4-Mar-24,Monday,09,MATH 101,4,12,02.25,1,0,,
283,4-Mar-24,Monday,09,CSE 111,2,6,#N/A,0,0,,
284,4-Mar-24,Monday,09,MKT 275,3,9,03.00,1,0,,
285,4-Mar-24,Monday,09,MATH 221,3,9,01.00,0,0,,
286,5-Mar-24,Tuesday,09,ACCTG 201,3,9,#N/A,1,0,,
287,5-Mar-24,Tuesday,09,MATH 101,4,12,#N/A,1,0,,
288,5-Mar-24,Tuesday,09,CSE 111,2,6,#N/A,0,0,,
289,5-Mar-24,Tuesday,09,MKT 275,3,9,02.75,1,0,,
290,5-Mar-24,Tuesday,09,MATH 221,3,9,01.50,0,0,,
291,6-Mar-24,Wednesday,09,ACCTG 201,3,9,06.00,1,0,,
292,6-Mar-24,Wednesday,09,MATH 101,4,12,01.00,1,0,,
293,6-Mar-24,Wednesday,09,CSE 111,2,6,#N/A,0,0,,
294,6-Mar-24,Wednesday,09,MKT 275,3,9,07.75,1,0,,
295,6-Mar-24,Wednesday,09,MATH 221,3,9,#N/A,0,0,,
296,7-Mar-24,Thursday,09,ACCTG 201,3,9,#N/A,1,0,,
297,7-Mar-24,Thursday,09,MATH 101,4,12,08.00,1,0,,
