glpostingdate,timestamp,aftercloseflag,sourcename,glaccountid,glaccountname,deptname,divisionname,deptid,dividx,username,ref1,sourceidx,drcr,amount,dr,cr,reportdate,astitle,ascompanyname,rolluppayments,ponum
10/21/25 0:00,10/22/25 14:52,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,"Progressive Produce Corp.`204149La Mirada, CA",10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",491,
10/21/25 0:00,10/22/25 14:52,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,"Progressive Produce Corp.`204228La Mirada, CA",10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",492,
10/21/25 0:00,10/22/25 14:52,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,"Progressive Produce Corp.`204150La Mirada, CA",10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",493,
10/21/25 0:00,10/22/25 14:52,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,"Progressive Produce Corp.`204153La Mirada, CA",10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",502,
10/21/25 0:00,10/22/25 14:52,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,JULIE,"Progressive Produce Corp.`204152La Mirada, CA",10,D,1800,1800,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",503,
10/21/25 0:00,10/29/25 14:14,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,CLINT,Pro*Act`204214HillCrest Foodservice,10,C,-5800,0,5800,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",767,
10/21/25 0:00,10/29/25 14:14,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,CLINT,Pro*Act`204214HillCrest Foodservice,10,D,7700,7700,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",768,
10/21/25 0:00,10/29/25 14:26,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,SCOTT,US Foodservice- Chicago`204156IL,10,D,4500,4500,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",822,
10/21/25 0:00,10/29/25 14:27,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,SCOTT,"Bob Evans Farms`204104Lima, OH",10,C,-3915,0,3915,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",823,
10/21/25 0:00,10/29/25 14:27,N,Invoicing,655,Freight,Rigby Produce,Rigby Produce,1,1,SCOTT,"Bob Evans Farms`204104Lima, OH",10,D,3909.78,3909.78,0,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",824,
